lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1138_translation,version_1139_translation,version_1140_translation,version_1141_translation,version_1142_translation,version_1143_translation,english_translation
λύχνος,241,unigram,masculine,nominative,singular,jiro,3.658198692048712,jiro,jiro,jiro,jiro,jiro,jiro,lamp
κλῆρος,105,unigram,masculine,accusative,plural,fizara,1.0960622061228922,,,,,fizara,,"lots (casting of lots), inheritance"
κλῆρος,1,unigram,masculine,accusative,singular,loka,1.3438683961265758,,,loka,loka,antsapaka,,"lots (casting of lots), inheritance"
ἄνθρωπος,306,unigram,masculine,accusative,plural,olona,1106.3148385372338,olona,olona,olona,olona,olona,olona,man
ἄνθρωπος,266,unigram,masculine,accusative,singular,olona,1.4856534496996785,lehilahy,olona,mahaloto,mahaloto,olona,olona,man
ἄνθρωπος,126,unigram,masculine,nominative,plural,olona,266.4330742396591,olona,olona,olona,olona,olona,olona,man
ἄνθρωπος,186,unigram,masculine,nominative,singular,lehilahy,30.387400787046364,lehilahy,olona,lehilahy,lehilahy,lehilahy,lehilahy,man
ἀνήρ,261,unigram,masculine,accusative,singular,Maria,1.0061608827928024,,Maria,,,manambady,Maria,"man, husband"
ἀνήρ,155,unigram,masculine,nominative,plural,arivo,1.421619788495205,arivo,arivo,vatan-dehilahy,vatan-dehilahy,arivo,arivo,"man, husband"
ἀνήρ,248,unigram,masculine,nominative,singular,lehilahy,28.21871013313344,lehilahy,lehilahy,lehilahy,lehilahy,lehilahy,lehilahy,"man, husband"
μνᾶ,309,unigram,feminine,accusative,plural,,,mina,farantsa,denàry,denàry,mina,farantsa,mina (about 100 days' wages)
μνᾶ,14,unigram,feminine,accusative,singular,farantsa,1.2013630877021924,minany,farantsa,,,,farantsa,mina (about 100 days' wages)
πρωτοκαθεδρία,112,unigram,feminine,accusative,plural,,,fipetrahana,fanasana,toeram-boninahitra,toeram-boninahitra,sinagoga*,fanasana,"most important seat, seat of honour"
πρωτοκαθεδρία,38,unigram,feminine,accusative,singular,,,arahaba,fipetrahana,arahabain,arahabain,fiarahabana,fipetrahana,"most important seat, seat of honour"
μήτηρ,103,unigram,feminine,accusative,plural,anabavy,1.3300638649917296,anabavy,,,,anabavy,,mother
μήτηρ,289,unigram,feminine,accusative,singular,reniny,19.27904286836734,reniny,reniny,reniny,reniny,reniny,reniny,mother
ὄρος,227,unigram,neuter,accusative,plural,an-tendrombohitra,4.573122429605127,an-tendrombohitra,an-tendrombohitra,,,an-tendrombohitra,an-tendrombohitra,mountain
ὄρος,275,unigram,neuter,accusative,singular,an-tendrombohitra,17.61209035851958,an-tendrombohitra,an-tendrombohitra,an-tendrombohitra,an-tendrombohitra,an-tendrombohitra,an-tendrombohitra,mountain
μύρον,94,unigram,neuter,accusative,plural,menaka,1.4083204036981665,menaka,,ilomanitra,ilomanitra,menaka,menaka,myrrh
μύρον,30,unigram,neuter,accusative,singular,menaka,1.2014275627384847,handevenana,menaka,,,Nandraraka,menaka,myrrh
ὄνομα,37,unigram,neuter,accusative,singular,anarany,2.1676979951559843,Anarako,anarany,miandany,miandany,anarany,anarany,name
ὄνομα,110,unigram,neuter,nominative,plural,anaranareo,1.355443196320387,,anaranareo,,,anaranareo,anaranareo,name
ὄνομα,262,unigram,neuter,nominative,singular,atao,1.5946488623041337,atao,atao,anaranao,anaranao,anarany,atao,name
ἔθνος,239,unigram,neuter,accusative,plural,firenena,57.37794126689284,firenena,firenena,firenena,firenena,firenena,firenena,nation
ἔθνος,204,unigram,neuter,accusative,singular,hamely,2.39803504630639,firenena,hamely,hamely,hamely,hamely,hamely,nation
