lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1796_translation,version_1797_translation,version_1798_translation,version_1799_translation,version_1800_translation,english_translation
ποιμήν,252,unigram,masculine,nominative,singular,paimen,227.17953455664446,paimen,,paimen,paimen,paimen,"shepherd, pastor"
σημεῖον,128,unigram,neuter,accusative,plural,tunnustekoja,19.498979482420044,ihmeitä,,tunnustekoja,tunnustekoja,tunnustekoja,sign
σημεῖον,116,unigram,neuter,accusative,singular,merkkiä,6.087272641515626,merkkiä,,merkkiä,merkkiä,merkkiä,sign
σημεῖον,36,unigram,neuter,nominative,plural,merkit,3.5803231770748845,merkit,,merkit,näkyy,,sign
σημεῖον,80,unigram,neuter,nominative,singular,merkki,3.9717863098804997,merkki,,merkki,,merkki,sign
ἀργύριον,193,unigram,neuter,accusative,plural,hopearahaa,1.2156681354057421,hopiapenninkiä,,hopearahaa,rahat,hopearahaa,"silver, money"
ἀργύριον,299,unigram,neuter,accusative,singular,rahaa,4.388644607093575,rahaa,,rahaa,rahaa,rahaa,"silver, money"
ἁμαρτία,247,unigram,feminine,accusative,plural,anteeksi,2.6750788985176106,anteeksi,,anteeksi,anteeksi,anteeksi,sin
ἁμαρτία,196,unigram,feminine,accusative,singular,syntiä,1.9299820353867876,syntiä,,syntiä,syyllisiä,syntiä,sin
ἁμαρτία,256,unigram,feminine,nominative,plural,syntisi,1.1109460322264244,anteeksi,,syntisi,syntisi,syntisi,sin
ἁμαρτία,253,unigram,feminine,nominative,singular,,,,,,synti,tähden,sin
ἀδελφή,277,unigram,feminine,accusative,plural,satakertaisesti,1.433276946357481,satakertaisesti,,,,satakertaisesti,sister
